date,value
1959-04-01,2.17701
1959-07-01,2.48501
1959-10-01,1.70293
1960-01-01,0.41542
1960-04-01,2.06159
1960-07-01,1.6331
1960-10-01,1.91246
1961-01-01,0.20447
1961-04-01,0.17881
1961-07-01,1.66882
1961-10-01,0.10168
1962-01-01,2.38352
1962-04-01,0.96312
1962-07-01,2.33804
1962-10-01,-0.27525
1963-01-01,1.08219
1963-04-01,1.50836
1963-07-01,1.27622
1963-10-01,1.95055
1964-01-01,1.66565
1964-04-01,0.91349
1964-07-01,1.43146
1964-10-01,1.40163
1965-01-01,1.12606
1965-04-01,2.72569
1965-07-01,0.58076
1965-10-01,2.26124
1966-01-01,3.15357
1966-04-01,2.90995
1966-07-01,3.63904
1966-10-01,2.50475
1967-01-01,0.69983
1967-04-01,2.74527
1967-07-01,3.88486
1967-10-01,3.1207
1968-01-01,4.89461
1968-04-01,4.09457
1968-07-01,4.3276
1968-10-01,4.00975
1969-01-01,4.55302
1969-04-01,5.43797
1969-07-01,4.61704
1969-10-01,5.0423
1970-01-01,4.08004
1970-04-01,4.41969
1970-07-01,4.39235
1970-10-01,5.46825
1971-01-01,3.38979
1971-04-01,5.12436
1971-07-01,3.00134
1971-10-01,3.05775
1972-01-01,3.85792
1972-04-01,2.1181
1972-07-01,4.48035
1972-10-01,2.95683
1973-01-01,6.32115
1973-04-01,7.46685
1973-07-01,7.91597
1973-10-01,9.19876
1974-01-01,13.9455
1974-04-01,10.65308
1974-07-01,11.88495
1974-10-01,9.42049
1975-01-01,6.17558
1975-04-01,5.59091
1975-07-01,7.38045
1975-10-01,7.33979
1976-01-01,2.66988
1976-04-01,4.6571
1976-07-01,6.67327
1976-10-01,6.3297
1977-01-01,7.72067
1977-04-01,6.79266
1977-07-01,5.58266
1977-10-01,6.27138
1978-01-01,7.02712
1978-04-01,8.83873
1978-07-01,6.67937
1978-10-01,7.5727
1979-01-01,8.60137
1979-04-01,12.25328
1979-07-01,10.07487
1979-10-01,9.81556
1980-01-01,14.2959
1980-04-01,8.00049
1980-07-01,10.62482
1980-10-01,9.44204
1981-01-01,11.21582
1981-04-01,5.25948
1981-07-01,7.59109
1981-10-01,5.31746
1982-01-01,4.70531
1982-04-01,5.6112
1982-07-01,4.81804
1982-10-01,4.1303
1983-01-01,3.09931
1983-04-01,4.54072
1983-07-01,5.50569
1983-10-01,1.47465
1984-01-01,5.89483
1984-04-01,2.77609
1984-07-01,3.24735
1984-10-01,2.66785
1985-01-01,5.55622
1985-04-01,2.64704
1985-07-01,3.02116
1985-10-01,3.21756
1986-01-01,0.96314
1986-04-01,1.41211
1986-07-01,1.92971
1986-10-01,1.99941
1987-01-01,4.43184
1987-04-01,4.09877
1987-07-01,3.92443
1987-10-01,2.80072
1988-01-01,3.5755
1988-04-01,4.91686
1988-07-01,5.19828
1988-10-01,3.5378
1989-01-01,4.98248
1989-04-01,5.11177
1989-07-01,1.9116
1989-10-01,3.65356
1990-01-01,6.48446
1990-04-01,3.56333
1990-07-01,6.27493
1990-10-01,3.2134
1991-01-01,1.82381
1991-04-01,3.0997
1991-07-01,2.97641
1991-10-01,2.6587
1992-01-01,2.5564
1992-04-01,2.34605
1992-07-01,2.53822
1992-10-01,2.93862
1993-01-01,2.42133
1993-04-01,2.46354
1993-07-01,1.75417
1993-10-01,2.12594
1994-01-01,2.18287
1994-04-01,2.04778
1994-07-01,2.65766
1994-10-01,1.70778
1995-01-01,2.28227
1995-04-01,2.07624
1995-07-01,1.65227
1995-10-01,1.80636
1996-01-01,2.76317
1996-04-01,1.89799
1996-07-01,2.38311
1996-10-01,2.41
1997-01-01,1.79124
1997-04-01,0.72535
1997-07-01,1.5325
1997-10-01,0.45958
1998-01-01,0.05093
1998-04-01,0.70899
1998-07-01,1.31654
1998-10-01,1.30653
1999-01-01,0.6411
1999-04-01,2.33918
1999-07-01,3.27507
1999-10-01,1.98121
2000-01-01,4.14181
2000-04-01,1.36191
2000-07-01,2.72835
2000-10-01,1.72958
2001-01-01,2.62157
2001-04-01,2.49045
2001-07-01,-1.53247
2001-10-01,0.72511
2002-01-01,2.14002
2002-04-01,2.46159
2002-07-01,2.41447
2002-10-01,1.52136
2003-01-01,3.97631
2003-04-01,-0.70319
2003-07-01,3.84343
2003-10-01,1.44799
2004-01-01,3.05714
2004-04-01,3.23037
2004-07-01,1.37492
2004-10-01,3.52617
2005-01-01,2.87197
2005-04-01,1.60714
2005-07-01,7.40397
2005-10-01,-0.19704
2006-01-01,2.99219
2006-04-01,3.98926
2006-07-01,1.58437
2006-10-01,0.61388
2007-01-01,4.11702
2007-04-01,2.99009
2007-07-01,2.44911
2007-10-01,4.34217
2008-01-01,2.99264
2008-04-01,5.48886
2008-07-01,1.88342
2008-10-01,-9.19012
2009-01-01,0.32276
2009-04-01,3.41365
2009-07-01,1.86644
2009-10-01,2.78259
2010-01-01,1.43979
2010-04-01,0.17738
2010-07-01,1.29527
2010-10-01,3.01839
2011-01-01,3.99413
2011-04-01,2.86428
2011-07-01,2.20724
2011-10-01,1.06285
2012-01-01,3.06975
2012-04-01,-0.12721
2012-07-01,2.73952
2012-10-01,0.84997
2013-01-01,1.66764
2013-04-01,0.77722
2013-07-01,1.27285
2013-10-01,1.83799
2014-01-01,1.67407
2014-04-01,1.82195
2014-07-01,0.6597
2014-10-01,-1.19771
2015-01-01,-0.46049
2015-04-01,2.11118
2015-07-01,-0.15988
2015-10-01,-0.08615
2016-01-01,0.89364
